Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
Feature for adding fees onto a recurring user's account through Paypal (one-time or recurring fees),"redmine,redmineID-451,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 10:20 am,,"",-1
System for handling users that are billed outside of Paypal (manual invoicing),"redmine,redmineID-450,redmine-Viralheat Product - Scrum",feature,unscheduled,02/22/2012 10:19 am,,"",-1
Previous balance lost when subscription is modified,"redmine,redmineID-449,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 10:18 am,,"",-1
Backend - We are missing a lot of Twitter Mentions / Authors.,"redmine,redmineID-448,redmine-Viralheat Product - Scrum",bug,unscheduled,02/22/2012 09:54 am,,"Need to find a resolution for this as it is causing issues now and customers are complaining.

Perhaps Skynet will fix this, or may be we need to deploy more nodes to do Twitter.",-1
Twitter author name is not working on @Mentions,"redmine,redmineID-447,redmine-Viralheat Product - Scrum",bug,accepted,02/22/2012 12:39 am,03/06/2012 02:32 pm,"Also, the popup should be a  link so people know to click on it,",0
Tools section is broken,"redmine,redmineID-446,redmine-Viralheat Product - Scrum",bug,accepted,02/22/2012 12:24 am,02/26/2012 07:12 pm,"",0
UserFacebookFanPage functions for Publishable concerns - Review the below functions,"redmine,redmineID-445,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 11:23 pm,02/29/2012 05:45 pm,"Most of the backed is zlib-ed these functions might not work. Lets review.

  # This model implements the ""publishable"" concern
  include Publishable   
  
  establish_connection :database_microblogs  

  #
  # This is required by the Publishable Concern
  #
  def _publish(user_id, message)    
    begin      
      ret = self.publish_facebook_location(message, user_id) 
    rescue Exception => e
      logger.info ""ERROR: #{e.to_s}""
      case e.to_s
      when ""OAuthException: Error validating application.""
        # Invalidate this page
        self.is_invalid = 1
        self.save!
      else
        
      end
      # Throw other errors up the stack
      raise e
    end
    return ret
  end
  
  #
  # This is also required by the Publishable Concern
  #
  def _name
    # Get the fanpage name from the associated facebook_page record
    fanpage = FacebookFanpages.find(:first, :conditions => ['record_key = ?', record_key])                                                          
    raw_json = ActiveSupport::JSON.decode(fanpage.body)
    return raw_json[""title""]
  end
  
  #
  # This is also required by the Publishable Concern
  #
  def _icon
    record = FacebookFanpages.return_facebook_record(record_key)        
    return record['profile_image']  
  end
   ",0
Facebook Publishing failure should be handled and proper message should be shown to the user,"redmine,redmineID-444,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 10:57 pm,02/23/2012 03:47 pm,"I just got these 2 error messages:

{""record_key"":""FBFP:240543249327870"",""publishing_error"":""PUBLISHING_FAILURE"",""message"":""Test""}
{""record_key"":""FBFP:240543249327870"",""publishing_error"":""OAuthException: (#506) Duplicate status message"",""message"":""Test""}

Both are not handled correctly.

This even affect history listing and History Breaks as well. This should be handled in the history as well and error should be shown to the user.",0
User should be able to pick what Facebook pages they want to track in Viralheat,"redmine,redmineID-443,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 10:34 pm,03/06/2012 02:01 pm,"Currently all the hooked pages are shown in Viralheat, we need to be able to limit based on the pan and also allow users to be able to select which one they can show in Viralheat.",0
History should take care of Twitter replies etc,"redmine,redmineID-441,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 10:08 pm,02/24/2012 03:10 pm,"Currently twitter replies are shown as Unknown in History


+      when ""twitter_reply"", ""twitter_reply_mention"", ""twitter_reply_retweet"":
",0
Twitter connect opens a new tab in Safari and Chrome,"redmine,redmineID-438,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 09:57 pm,03/02/2012 10:50 am,Lets see if we can make this into a popup.,0
Alert messages above the wizard window,"redmine,redmineID-437,redmine-Viralheat Product - Scrum",bug,unscheduled,02/21/2012 06:43 pm,,Wizard window and a few others are losing the alert message. ,-1
Facebook Stream - Hidden Comments,"redmine,redmineID-436,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 06:41 pm,03/01/2012 10:57 pm,"Right now, we should only 2 comments and there is an option where user can click to see all the other hidden comments. When the user clicks on that link ,the comments do show up and now the user can see all the comments but the link is still there to show the 4 hidden comments.

See screenshot.",0
Corner Case: You are no longer the admin of a page but you see it in your accounts list and try to view it.,"redmine,redmineID-435,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 04:58 pm,02/22/2012 03:16 pm,"",0
Add platform - Logout of Facebook disappears,"redmine,redmineID-434,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 03:38 pm,02/28/2012 03:00 pm,The logout disappears when you go into the add platform a second time after you close the window. ,0
Connecting Facebook account confirmation,"redmine,redmineID-433,redmine-Viralheat Product - Scrum",feature,unscheduled,02/21/2012 02:34 pm,,Research to see how to popup a message when the app is already installed by the user previously.,-1
Pagination not working propelry on Twitter feed,"redmine,redmineID-432,redmine-Viralheat Product - Scrum",bug,accepted,02/21/2012 02:26 pm,02/21/2012 03:14 pm,"Specifically the ""show more tweets"" does not dissappear/appear properly

also, the first 2 pages repeat themselves. It appears that requesting page 0 and page 1 give the same results from twitter.",0
Get an ACL system going to prevent users from modifying records they don't own,"redmine,redmineID-431,redmine-Viralheat Product - Scrum",bug,unscheduled,02/21/2012 12:00 pm,,Several places probably modify records without an ownership check. This could result in issues.,-1
Delete button all over the product should pop up a confirmation box.,"redmine,redmineID-429,redmine-Viralheat Product - Scrum",bug,accepted,02/20/2012 10:46 pm,03/06/2012 04:06 pm,"Check on Profiles screen
Manage linked accounts screen.
",0
External service Connect Screen UI needs rework.,"redmine,redmineID-428,redmine-Viralheat Product - Scrum",bug,accepted,02/20/2012 10:01 pm,02/29/2012 03:25 pm,"https://s3.amazonaws.com/uploads.hipchat.com/13894/48313/ba588wu42qvtqej/Screen%20Shot%202012-02-20%20at%208.53.44%20PM.png


Lets discuss on how to fix ths.",0
Adding a profile without any params should give proper error,"redmine,redmineID-427,redmine-Viralheat Product - Scrum",bug,accepted,02/20/2012 10:00 pm,02/27/2012 10:51 am,"",0
"When viewing your profile leads and clicking the checkbox for a lead, JS Error: update_checks is not defined","redmine,redmineID-426,redmine-Viralheat Product - Scrum",bug,unscheduled,02/20/2012 03:20 pm,,"",-1
Backend Should invalidate the access token for a page if the user does not have access to it,"redmine,redmineID-425,redmine-Viralheat Product - Scrum",bug,accepted,02/20/2012 02:33 pm,03/06/2012 02:33 pm,"When getting Facebook insights data for a page, if for some reason we cannot get it or user does not have access to the page any more. mark that page as Invalid.

Also, test it to make sure this actually works with the front end.",0
Emailing mentions from FB or Twitter is no longer a popup and the form submission does not actually send an email from QA,"redmine,redmineID-424,redmine-Viralheat Product - Scrum",bug,unscheduled,02/17/2012 05:57 pm,,"",-1
Clicking several times on the menu tab that displays your Twitter feed results in pagination issues,"redmine,redmineID-422,redmine-Viralheat Product - Scrum",bug,accepted,02/17/2012 02:52 pm,02/21/2012 10:56 am,Each click seems to paginate.,0
Publish Box is broken,"redmine,redmineID-420,redmine-Viralheat Product - Scrum",bug,accepted,02/17/2012 01:32 pm,02/17/2012 03:56 pm,See attached screen shot,0
"Publishing box dropdown shows the same ""publish as"" twice if you have more than one account owning the same page","redmine,redmineID-419,redmine-Viralheat Product - Scrum",bug,accepted,02/17/2012 11:03 am,02/24/2012 11:14 am,"",0
Fix context menus for invalid FB accounts / pages on Accounts#list,"redmine,redmineID-417,redmine-Viralheat Product - Scrum",bug,accepted,02/17/2012 10:09 am,02/27/2012 11:29 am,"This bug surfaced as a side effect of #416.

Within Accounts#list

When a FB account is invalid, previously created pages need to have the parent FB account's access token updated.	

If the FB page is invalid, the user should not be given any options within the context menu to revalidate.",0
Duplicate FB Pages on Accounts#list,"redmine,redmineID-416,redmine-Viralheat Product - Scrum",bug,accepted,02/17/2012 10:05 am,02/21/2012 04:56 pm,"A single duplicate FB page is listed as invalid on the Accounts#list when linking a secondary FB account.

This duplicate page disappears when the secondary FB account is removed.

",0
Gracefully handle a broken facebook or twitter application key,"redmine,redmineID-415,redmine-Viralheat Product - Scrum",bug,accepted,02/16/2012 04:53 pm,02/16/2012 06:34 pm,currently results in a 500 error,0
Releasing the billing crons that were developed to handle things like skipped payments,"redmine,redmineID-414,redmine-Viralheat Product - Scrum",bug,unscheduled,02/16/2012 04:26 pm,,"",-1
Enable FB Mention Engagement (Depends on 412),"redmine,redmineID-413,redmine-Viralheat Product - Scrum",feature,unscheduled,02/15/2012 05:41 pm,,"",-1
Backend: Start storing the comment ID for facebook comments (FBFPC records),"redmine,redmineID-412,redmine-Viralheat Product - Scrum",feature,unscheduled,02/15/2012 05:37 pm,,"",-1
Moving UserFacebookFanpages#get_fanpages to a background process,"redmine,redmineID-411,redmine-Viralheat Product - Scrum",feature,unscheduled,02/15/2012 03:58 pm,,"Will move UserFacebookFanpages#get_fanpages to a background process to reduce page load times when loading Accounts#list

As it is now, for every possible page a user has created with their Facebook account would add to the number of requests #get_fanpages would have to make to query the FB for data.",-1
There is no way to know if you previously responded to a specific mention from the mentions screen.,"redmine,redmineID-410,redmine-Viralheat Product - Scrum",feature,unscheduled,02/15/2012 03:18 pm,,"",-1
Refactor needed with direct references to facebook/twitter in order to more easily scale to multiple networks,"redmine,redmineID-409,redmine-Viralheat Product - Scrum",bug,unscheduled,02/15/2012 11:11 am,,there are tons of direct references to fb and twitter and it could probably be abstracted to more of a plugin style architecture,-1
"When connecting a FB account, fanpages are assigned the wrong user id resulting in failure to publish.","redmine,redmineID-408,redmine-Viralheat Product - Scrum",bug,accepted,02/14/2012 04:49 pm,02/22/2012 10:12 am,"user_facebook_fanpages records were incorrectly assigning user_id due to assigning it UserSession.find.user, which returns a boolean value. Explicitly using UserSession.find.user.id correctly assigns user_facebook_fanpages records to the proper user ID.",0
/linked_accounts does not display newly added Facebook accounts without Fan Pages,"redmine,redmineID-407,redmine-Viralheat Product - Scrum",bug,accepted,02/14/2012 03:27 pm,03/06/2012 06:04 pm,"If a user connects a Facebook account that has no Fan Pages to their VH account, it *does not* show up in Accounts#list ",0
Use social media channels to promote your analytics data,"redmine,redmineID-406,redmine-Viralheat Product - Scrum",feature,unscheduled,02/14/2012 03:05 pm,,"",-1
Twitter account with no previous history causes template errors on /accounts/list,"redmine,redmineID-405,redmine-Viralheat Product - Scrum",bug,accepted,02/14/2012 02:33 pm,02/17/2012 03:10 pm,"",0
Engagement Reply box account selection (for mentions) should be a radio button and not a multi-select,"redmine,redmineID-402,redmine-Viralheat Product - Scrum",bug,accepted,02/10/2012 11:09 am,02/23/2012 05:11 pm,Because you can only reply from a single account,0
generate daily report of new customers,"redmine,redmineID-401,redmine-Viralheat Product - Scrum",feature,unscheduled,02/09/2012 11:19 am,,"",-1
